Comarca;Unidade;Analistas Secretaria;Técnicos Secretaria;Analistas e Técnicos Secretaria;Lotacao Real
CORNÉLIO PROCÓPIO;Vara de Família e Sucessões, Infância e Juventude, Acidentes do Trabalho, Registros Públicos e Corregedoria do Foro Extrajudicial;1;3;0;4
CORNÉLIO PROCÓPIO;2ª Vara Cível e da Fazenda Pública;1;3;1;5
CORNÉLIO PROCÓPIO;Juizado Especial Cível, Criminal e da Fazenda Pública;1;4;1;6
CORONEL VIVIDA;Juízo Único - Crime e Anexos e Juizados Especiais;0;4;0;4
CRUZEIRO DO OESTE;Vara de Execuções Penais e Corregedoria dos Presídios;1;4;0;5
CRUZEIRO DO OESTE;Vara Criminal, Família e Sucessões, Infância e Juventude e Juizado Especial Cível, Criminal e da Fazenda Pública;0;7;1;8
CURITIBA;Centro de Apoio às Turmas Recursais;0;0;0;0
CURITIBA;24ª Vara Cível;0;0;0;0
CURITIBA;25ª Vara Cível;0;0;0;0
CURITIBA;Vara de Infrações Penais contra Crianças, Adolescentes e Idosos;0;0;0;0
CURITIBA;1ª Vara de Falências e Recuperações Judiciais;0;0;0;0
CURITIBA;2ª Vara de Falências e Recuperações Judiciais;0;0;0;0
CURITIBA;5ª Vara Criminal;0;0;0;0
CURITIBA;6ª Vara Criminal;0;0;0;0
CURITIBA;7º Juizado Especial Cível – Acidentes de Trânsito;0;0;0;0
CURITIBA;11ª Vara Criminal;0;0;0;0
CURITIBA;2º Juizado de Violência Doméstica e Familiar contra a Mulher;0;0;0;0
CURITIBA;1º Juizado de Violência Doméstica e Familiar contra a Mulher;0;0;0;0
CURITIBA;Vara de Execuções Penais, Medidas Alternativas e Corregedoria dos Presídios;0;0;1;1
CURITIBA;Secretaria Unificada dos 4º e 15º Juizados Especiais da Fazenda Pública;0;0;0;0
CURITIBA;Secretaria Unificada das 1ª, 2ª, 3ª, 4ª e 5ª Varas da Fazenda Pública;0;0;1;1
CURITIBA;Secretaria Unificada das 1ª, 2ª e 3ª Varas de Execuções Fiscais Municipais;0;0;3;3
CURITIBA;2ª Vara de Execuções Fiscais Estaduais;0;0;1;1
CURITIBA;1ª Vara de Execuções Fiscais Estaduais;0;0;1;1
CURITIBA;3º Juizado Especial Cível – Telecomunicações;1;4;0;5
CURITIBA;3ª Vara de Família;1;4;1;6
CURITIBA;Vara de Delitos de Trânsito;0;4;0;4
CURITIBA;1ª Vara Privativa do Tribunal do Júri;1;3;0;4
CURITIBA;9ª Vara Criminal;1;3;0;4
CURITIBA;Vara da Infância e da Juventude e Adoção;1;10;0;11
